Epoch [61/2000], Step [20/20], Gen. Loss: 2.3619, Disc Loss: 0.3204, Trained module: discriminator
Epoch [62/2000], Step [20/20], Gen. Loss: 0.4106, Disc Loss: 1.2579, Trained module: generator
Epoch [63/2000], Step [20/20], Gen. Loss: 2.3559, Disc Loss: 0.3256, Trained module: discriminator
Epoch [64/2000], Step [20/20], Gen. Loss: 0.4179, Disc Loss: 1.2491, Trained module: generator
Epoch [65/2000], Step [20/20], Gen. Loss: 2.3843, Disc Loss: 0.3246, Trained module: discriminator
Epoch [66/2000], Step [20/20], Gen. Loss: 0.4103, Disc Loss: 1.2068, Trained module: generator
Epoch [67/2000], Step [20/20], Gen. Loss: 2.3084, Disc Loss: 0.3202, Trained module: discriminator
Epoch [68/2000], Step [20/20], Gen. Loss: 0.4276, Disc Loss: 1.1595, Trained module: generator
Epoch [69/2000], Step [20/20], Gen. Loss: 2.2841, Disc Loss: 0.3278, Trained module: discriminator
Epoch [70/2000], Step [20/20], Gen. Loss: 0.3932, Disc Loss: 1.2238, Trained module: generator
Epoch [71/2000], Step [20/20], Gen. Loss: 2.2710, Disc Loss: 0.3258, Trained module: discriminator
Epoch [72/2000], Step [20/20], Gen. Loss: 0.3925, Disc Loss: 1.2011, Trained module: generator
Epoch [73/2000], Step [20/20], Gen. Loss: 2.3096, Disc Loss: 0.3296, Trained module: discriminator
Epoch [74/2000], Step [20/20], Gen. Loss: 0.3976, Disc Loss: 1.1926, Trained module: generator
Epoch [75/2000], Step [20/20], Gen. Loss: 2.1818, Disc Loss: 0.3351, Trained module: discriminator
Epoch [76/2000], Step [20/20], Gen. Loss: 0.4126, Disc Loss: 1.1588, Trained module: generator
Epoch [77/2000], Step [20/20], Gen. Loss: 2.1955, Disc Loss: 0.3353, Trained module: discriminator
Epoch [78/2000], Step [20/20], Gen. Loss: 0.3849, Disc Loss: 1.2304, Trained module: generator
Epoch [79/2000], Step [20/20], Gen. Loss: 2.2881, Disc Loss: 0.3303, Trained module: discriminator
Epoch [80/2000], Step [20/20], Gen. Loss: 0.4077, Disc Loss: 1.1614, Trained module: generator
Epoch [81/2000], Step [20/20], Gen. Loss: 2.1798, Disc Loss: 0.3315, Trained module: discriminator
Epoch [82/2000], Step [20/20], Gen. Loss: 0.4011, Disc Loss: 1.1066, Trained module: generator
Epoch [83/2000], Step [20/20], Gen. Loss: 2.1591, Disc Loss: 0.3280, Trained module: discriminator
Epoch [84/2000], Step [20/20], Gen. Loss: 0.4208, Disc Loss: 1.1047, Trained module: generator
Epoch [85/2000], Step [20/20], Gen. Loss: 2.0122, Disc Loss: 0.3480, Trained module: discriminator
Epoch [86/2000], Step [20/20], Gen. Loss: 0.3992, Disc Loss: 1.0664, Trained module: generator
Epoch [87/2000], Step [20/20], Gen. Loss: 2.0153, Disc Loss: 0.3463, Trained module: discriminator
Epoch [88/2000], Step [20/20], Gen. Loss: 0.4062, Disc Loss: 1.1202, Trained module: generator
Epoch [89/2000], Step [20/20], Gen. Loss: 2.0701, Disc Loss: 0.3441, Trained module: discriminator
Epoch [90/2000], Step [20/20], Gen. Loss: 0.4064, Disc Loss: 1.1157, Trained module: generator
Epoch [91/2000], Step [20/20], Gen. Loss: 2.0552, Disc Loss: 0.3393, Trained module: discriminator
Epoch [92/2000], Step [20/20], Gen. Loss: 0.3875, Disc Loss: 1.1803, Trained module: generator
Epoch [93/2000], Step [20/20], Gen. Loss: 2.0838, Disc Loss: 0.3484, Trained module: discriminator
Epoch [94/2000], Step [20/20], Gen. Loss: 0.4030, Disc Loss: 1.0782, Trained module: generator
Epoch [95/2000], Step [20/20], Gen. Loss: 2.0246, Disc Loss: 0.3383, Trained module: discriminator
Epoch [96/2000], Step [20/20], Gen. Loss: 0.4206, Disc Loss: 1.1179, Trained module: generator
Epoch [97/2000], Step [20/20], Gen. Loss: 2.1239, Disc Loss: 0.3394, Trained module: discriminator
Epoch [98/2000], Step [20/20], Gen. Loss: 0.4002, Disc Loss: 1.0926, Trained module: generator
Epoch [99/2000], Step [20/20], Gen. Loss: 2.1379, Disc Loss: 0.3257, Trained module: discriminator
Epoch [100/2000], Step [20/20], Gen. Loss: 0.3950, Disc Loss: 1.1541, Trained module: generator
Epoch [101/2000], Step [20/20], Gen. Loss: 2.0512, Disc Loss: 0.3503, Trained module: discriminator
Epoch [102/2000], Step [20/20], Gen. Loss: 0.4147, Disc Loss: 1.0697, Trained module: generator
Epoch [103/2000], Step [20/20], Gen. Loss: 2.0261, Disc Loss: 0.3320, Trained module: discriminator
Epoch [104/2000], Step [20/20], Gen. Loss: 0.3860, Disc Loss: 1.1791, Trained module: generator
Epoch [105/2000], Step [20/20], Gen. Loss: 2.1810, Disc Loss: 0.3291, Trained module: discriminator
Epoch [106/2000], Step [20/20], Gen. Loss: 0.4215, Disc Loss: 1.0935, Trained module: generator
Epoch [107/2000], Step [20/20], Gen. Loss: 2.0845, Disc Loss: 0.3232, Trained module: discriminator
Epoch [108/2000], Step [20/20], Gen. Loss: 0.4035, Disc Loss: 1.1267, Trained module: generator
